code,MC1_seed=1,MC1_seed=2
0,-0.019778398,-0.019769005
1,-0.019739656,-0.019730393
2,-0.019700562,-0.019691992
3,-0.01966182,-0.019653379
4,-0.019624099,-0.01961361
5,-0.019585357,-0.019574997
6,-0.019546262,-0.019536597
7,-0.01950752,-0.019497984
8,-0.019468021,-0.019460284
9,-0.01942928,-0.019421671
10,-0.019390185,-0.019383271
11,-0.019351443,-0.019344658
12,-0.019313722,-0.019304888
13,-0.01927498,-0.019266275
14,-0.019235885,-0.019227875
15,-0.019197144,-0.019189262
16,-0.019156371,-0.019153636
17,-0.019117629,-0.019115023
18,-0.019078534,-0.019076623
19,-0.019039792,-0.01903801
20,-0.019002072,-0.01899824
21,-0.01896333,-0.018959627
22,-0.018924235,-0.018921227
23,-0.018885493,-0.018882614
24,-0.018845994,-0.018844914
25,-0.018807252,-0.018806301
26,-0.018768157,-0.018767901
27,-0.018729416,-0.018729288
28,-0.018691695,-0.018689519
29,-0.018652953,-0.018650906
30,-0.018613858,-0.018612505
31,-0.018575116,-0.018573893
32,-0.018538747,-0.018532722
33,-0.018500005,-0.01849411
34,-0.01846091,-0.018455709
35,-0.018422168,-0.018417096
36,-0.018384447,-0.018377327
37,-0.018345706,-0.018338714
38,-0.018306611,-0.018300314
39,-0.018267869,-0.018261701
40,-0.01822837,-0.018224001
41,-0.018189628,-0.018185388
42,-0.018150533,-0.018146988
43,-0.018111791,-0.018108375
44,-0.018074071,-0.018068605
45,-0.018035329,-0.018029992
46,-0.017996234,-0.017991592
47,-0.017957492,-0.017952979
48,-0.017916719,-0.017917353
49,-0.017877978,-0.01787874
50,-0.017838883,-0.01784034
51,-0.017800141,-0.017801727
52,-0.01776242,-0.017761957
53,-0.017723678,-0.017723344
54,-0.017684583,-0.017684944
55,-0.017645842,-0.017646331
56,-0.017606343,-0.017608631
57,-0.017567601,-0.017570019
58,-0.017528506,-0.017531618
59,-0.017489764,-0.017493005
60,-0.017452043,-0.017453236
61,-0.017413301,-0.017414623
62,-0.017374207,-0.017376223
63,-0.017335465,-0.01733761
64,-0.017289893,-0.017302625
65,-0.017251151,-0.017264012
66,-0.017212056,-0.017225611
67,-0.017173315,-0.017186999
68,-0.017135594,-0.017147229
69,-0.017096852,-0.017108616
70,-0.017057757,-0.017070216
71,-0.017019015,-0.017031603
72,-0.016979516,-0.016993903
