code,MC1_seed=1,MC1_seed=2
0,-0.020630113,-0.020934041
1,-0.019984691,-0.020259494
2,-0.019317652,-0.019614539
3,-0.018664372,-0.018931128
4,-0.018029313,-0.018352403
5,-0.017376034,-0.017668994
6,-0.016708996,-0.017024039
7,-0.016055715,-0.016340628
8,-0.015354271,-0.015703473
9,-0.014700993,-0.015020063
10,-0.014033954,-0.014375109
11,-0.013380674,-0.013691698
12,-0.012745615,-0.013112973
13,-0.012092336,-0.012429563
14,-0.011425298,-0.011784609
15,-0.010772017,-0.011101198
16,-0.01028722,-0.010344735
17,-0.009633939,-0.009661328
18,-0.0089669,-0.009016373
19,-0.008313619,-0.008332962
20,-0.00767856,-0.007754237
21,-0.007025282,-0.007070827
22,-0.006358243,-0.006425873
23,-0.005704963,-0.005742462
24,-0.005003519,-0.005105306
25,-0.004350241,-0.004421897
26,-0.003683202,-0.003776943
27,-0.003029921,-0.003093532
28,-0.002394862,-0.002514807
29,-0.001741584,-0.001831397
30,-0.001074545,-0.001186443
31,-0.000421265,-0.000503032
32,0.000430292,0.000516199
33,0.001083556,0.001199596
34,0.001750595,0.001844551
35,0.002403875,0.002527962
36,0.003038934,0.003106687
37,0.003692213,0.003790097
38,0.004359251,0.004435051
39,0.005012532,0.005118462
40,0.005713976,0.005755617
41,0.006367254,0.006439027
42,0.007034293,0.007083981
43,0.007687573,0.007767392
44,0.008322632,0.008346117
45,0.008975911,0.009029527
46,0.009642949,0.009674481
47,0.01029623,0.010357892
48,0.010781027,0.011114355
49,0.011434308,0.011797763
50,0.012101347,0.012442717
51,0.012754628,0.013126128
52,0.013389687,0.013704853
53,0.014042965,0.014388263
54,0.014710004,0.015033217
55,0.015363284,0.015716628
56,0.016064728,0.016353784
57,0.016718006,0.017037193
58,0.017385045,0.017682147
59,0.018038326,0.018365558
60,0.018673385,0.018944283
61,0.019326663,0.019627693
62,0.019993702,0.020272647
63,0.020646982,0.020956058
