code,MC_seed=1,MC_seed=2
60,-0.0005011322630578853,-0.0005806364308827879
61,-0.0004999914642624528,-0.0005793978165775454
62,-0.0004991673774875206,-0.0005777554620869344
63,-0.0004980265786911669,-0.0005765168477817621
64,-0.0004974262287017586,-0.0005766255670456379
65,-0.0004962854299053154,-0.0005753869527439624
66,-0.0004954613431320045,-0.0005737445982602308
67,-0.0004943205443346408,-0.0005725059839586228
68,-0.0004933439213721916,-0.0005714345170552413
69,-0.0004922031225733226,-0.0005701959027525459
70,-0.0004913790358008529,-0.0005685535482701804
71,-0.0004902382370010647,-0.0005673149339675572
72,-0.0004881413405415266,-0.0005667572423537411
73,-0.00048700054174034347,-0.0005655186280521206
74,-0.0004861764549694888,-0.0005638762735736629
75,-0.00048503565616738316,-0.0005626376592721138
76,-0.00048405903320307094,-0.0005615661923637637
77,-0.000482918234399462,-0.0005603275780611263
78,-0.0004820941476294504,-0.0005586852235840349
79,-0.0004809533488249204,-0.0005574466092814682
80,-0.0004790357071626407,-0.0005558317186679436
81,-0.00047789490835746425,-0.000554593104362127
82,-0.00047707082158946395,-0.0005529507498837597
83,-0.0004759300227833652,-0.0005517121355780121
84,-0.0004749533998177815,-0.0005506406686604483
85,-0.0004738126010101808,-0.0005494020543536139
86,-0.0004729885142430229,-0.0005477596998766158
87,-0.00047184771543449963,-0.0005465210855698509
88,-0.0004697508189799017,-0.000545963393977156
89,-0.00046861002016998434,-0.0005447247796713979
90,-0.0004677859334044427,-0.0005430824251983087
91,-0.00046664513459360527,-0.0005418438108926208
92,-0.0004656685116261614,-0.0005407723439700935
93,-0.0004645277128138207,-0.0005395337296633184
94,-0.00046370362604912236,-0.0005378913751915979
95,-0.00046256282723586035,-0.0005366527608848947
96,-0.000462022691525299,-0.0005352243644318835
97,-0.0004608818927151121,-0.000533985750124522
98,-0.0004600578059542819,-0.0005323433956549013
99,-0.00045891700714317487,-0.0005311047813476115
100,-0.0004579403841773889,-0.0005300333144182412
101,-0.0004567995853647811,-0.000528794700109863
102,-0.00045597549860479326,-0.0005271523456416128
103,-0.0004548346997912641,-0.000525913731333308
104,-0.00045273780334686954,-0.0005253560397627251
105,-0.0004515970045319473,-0.0005241174254554263
106,-0.0004507729177735761,-0.0005224750709910889
107,-0.00044963211895773336,-0.0005212364566838604
108,-0.00044865549599008825,-0.0005201649897495261
109,-0.00044751469717274237,-0.000518926375441214
110,-0.00044669061041521617,-0.000517284020978246
111,-0.0004455498115969501,-0.000516045406670005
112,-0.00044363216996974077,-0.0005144305159588455
113,-0.0004424913711508282,-0.0005131919016473565
114,-0.00044166728439531586,-0.0005115495471831176
115,-0.00044052648557548315,-0.0005103109328716987
116,-0.0004395498626065707,-0.0005092394659281581
117,-0.00043840906378523703,-0.0005080008516156547
118,-0.0004375849770305686,-0.0005063584971527872
119,-0.00043644417820831315,-0.0005051198828403548
120,-0.0004343472817688737,-0.0005045621912908983
121,-0.0004332064829452282,-0.0005033235769794732
122,-0.0004323823961921771,-0.0005016812225205184
123,-0.00043124159736761177,-0.0005004426082091675
124,-0.00043026497439684205,-0.0004993711412606657
125,-0.0004291241755707741,-0.000498132526948227
126,-0.0004283000888185673,-0.0004964901724906469
127,-0.0004271592899915806,-0.0004952515581782828
128,-0.0004271012883197903,-0.0004920741974048581
129,-0.0004259604894950753,-0.0004908355830927707
130,-0.0004251364027458749,-0.000489193228639365
131,-0.00042399560392024013,-0.0004879546143273505
132,-0.0004230189809503337,-0.0004868831473720365
133,-0.0004218781821231975,-0.0004856445330589378
134,-0.00042105409537484173,-0.0004840021786069069
135,-0.0004199132965467871,-0.00048276356429387995
136,-0.0004178164001155901,-0.00048220587276872316
137,-0.00041667560128614244,-0.0004809672584567036
138,-0.00041585151453940453,-0.00047932490400858895
139,-0.0004147107157090385,-0.0004780862896966439
140,-0.00041373409273727746,-0.00047701482273637273
141,-0.0004125932939054104,-0.00047577620842334306
142,-0.00041176920715951614,-0.00047413385397660206
143,-0.00041062840832673084,-0.00047289523966364687
144,-0.00040871076673256113,-0.0004712803488526699
145,-0.00040756996789913046,-0.00047004173453646635
146,-0.0004067458811552522,-0.0004683993800884585
147,-0.00040560508232090114,-0.00046716076577232955
148,-0.00040462845934787655,-0.00046608929880285864
149,-0.00040348766051202583,-0.00046485068448564416
150,-0.0004026635737689945,-0.0004632083300390135
151,-0.00040152277493222247,-0.00046196971572187435
152,-0.0003994258785059974,-0.0004614120242178484
153,-0.0003982850796678359,-0.0004601734099017149
154,-0.00039746099292642417,-0.0004585310554590044
155,-0.0003963201940873423,-0.0004572924411429464
156,-0.00039534357111246606,-0.00045622097416851833
157,-0.000394202772271885,-0.0004549823598513766
158,-0.0003933786855313183,-0.0004533400054100424
159,-0.00039223788668981855,-0.0004521013910929751
160,-0.000391697751240708,-0.0004506729946188868
161,-0.00039055695240228564,-0.00044943438030116547
162,-0.00038973286566558934,-0.0004477920258619399
163,-0.00038859206682624814,-0.0004465534115442934
164,-0.0003876154438530359,-0.0004454819445630346
165,-0.0003864746450121939,-0.0004442433302443041
166,-0.0003856505582763439,-0.0004426009758064567
167,-0.0003845097594345835,-0.00044136236148780165
168,-0.00038241286301859116,-0.0004408046700058995
169,-0.0003812720641754399,-0.00043956605568825345
170,-0.0003804479774412121,-0.00043792370125432344
171,-0.00037930717859714153,-0.00043668508693675155
172,-0.00037833055562207853,-0.0004356136199505422
173,-0.000377189756776509,-0.0004343750056318875
174,-0.0003763656700431275,-0.00043273265119933845
175,-0.0003752248711966395,-0.0004314940368807601
