code,MC1_seed=1,MC1_seed=2
0.0,-0.018117286812961302,-0.020766743690031477
1.0,-0.018080925556099817,-0.02072681189248231
2.0,-0.01803677441073514,-0.020691377154022056
3.0,-0.01800041315383309,-0.020651445356472054
4.0,-0.017983450653003587,-0.020588210856487585
5.0,-0.01794708939610228,-0.02054827905895877
6.0,-0.01790293825073749,-0.020512844320498297
7.0,-0.01786657699383547,-0.020472912522948514
8.0,-0.017813750416728006,-0.020451168488083565
9.0,-0.017777389159823326,-0.020411236690537977
10.0,-0.017733238014458787,-0.02037580195207752
11.0,-0.01769687675755653,-0.020335870154527695
12.0,-0.0176799142567271,-0.02027263565454317
13.0,-0.017643552999825774,-0.020232703857014443
14.0,-0.017599401854461193,-0.020197269118554073
15.0,-0.017563040597558907,-0.020157337321004228
16.0,-0.01748406171030571,-0.02017828732546122
17.0,-0.01744770045347101,-0.020138355527932406
18.0,-0.017403549308106316,-0.020102920789472057
19.0,-0.017367188051204033,-0.020062988991922055
20.0,-0.0173502255503745,-0.01999975449193743
21.0,-0.017313864293473036,-0.01995982269440857
22.0,-0.01726971314810839,-0.01992438795594809
23.0,-0.017233351891206082,-0.019884456158398088
24.0,-0.017180525314098662,-0.01986271212353394
25.0,-0.01714416405719381,-0.01982278032598835
26.0,-0.017100012911829155,-0.019787345587527837
27.0,-0.017063651654926834,-0.01974741378997789
28.0,-0.017046689154097423,-0.019684179289993307
29.0,-0.017010327897195858,-0.019644247492464535
30.0,-0.016966176751831336,-0.019608812754004033
31.0,-0.016929815494928897,-0.01956888095645416
32.0,-0.016948428170831222,-0.0194795928194651
33.0,-0.016912066913936753,-0.019439661021919307
34.0,-0.016867915768572342,-0.019404226283458816
35.0,-0.016831554511670004,-0.01936429448590901
36.0,-0.016814592010840592,-0.01930105998592438
37.0,-0.016778230753939062,-0.01926112818839543
38.0,-0.016734079608574703,-0.019225693449935063
39.0,-0.016697718351672317,-0.019185761652385197
40.0,-0.016644891774565018,-0.019164017617521848
41.0,-0.01660853051766014,-0.019124085819976135
42.0,-0.01656437937229579,-0.019088651081515768
43.0,-0.016528018115393443,-0.019048719283965947
44.0,-0.016511055614564073,-0.01898548478398125
45.0,-0.016474694357662505,-0.018945552986452528
46.0,-0.016430543212298178,-0.01891011824799203
47.0,-0.016394181955395815,-0.018870186450442212
48.0,-0.016315203068139925,-0.018891136454896543
49.0,-0.01627884181130497,-0.018851204657367823
50.0,-0.016234690665940604,-0.01881576991890721
51.0,-0.016198329409038176,-0.018775838121357396
52.0,-0.01618136690820871,-0.018712603621372597
53.0,-0.016145005651306978,-0.018672671823843606
54.0,-0.016100854505942737,-0.01863723708538317
55.0,-0.016064493249040242,-0.018597305287833227
56.0,-0.016011666671932764,-0.018575561252970628
57.0,-0.015975305415027816,-0.018535629455424935
58.0,-0.015931154269663496,-0.018500194716964465
59.0,-0.015894793012760963,-0.018460262919414605
60.0,-0.015877830511931555,-0.01839702841942979
61.0,-0.01584146925502985,-0.018357096621901013
62.0,-0.015797318109665538,-0.018321661883440445
63.0,-0.015760956852763006,-0.018281730085890572
