,vout (V),,
code,nominal,seed=1,seed=2
19155,-3.90607264,-3.356457781,-3.768523741
19156,-3.905785692,-3.356384469,-3.768433696
19157,-3.905498745,-3.356163323,-3.768157668
19158,-3.905211797,-3.355795042,-3.767793822
19159,-3.90492485,-3.355573896,-3.767517828
19160,-3.904637902,-3.355274188,-3.767206112
19161,-3.904350955,-3.355053042,-3.766930084
19162,-3.904064007,-3.354684761,-3.766566272
19163,-3.90377706,-3.354463615,-3.766290244
19164,-3.903490113,-3.354390303,-3.7662002
19165,-3.903203165,-3.354169157,-3.765924172
19166,-3.902916218,-3.353800876,-3.765560325
19167,-3.90262927,-3.35357973,-3.765284332
19168,-3.902342323,-3.3532786,-3.765013776
19169,-3.902055375,-3.353057454,-3.764737748
19170,-3.901768428,-3.352689173,-3.764373936
19171,-3.90148148,-3.352468027,-3.764097908
19172,-3.901194533,-3.352394715,-3.764007863
19173,-3.900907585,-3.352173569,-3.763731835
19174,-3.900620638,-3.351805288,-3.763367989
19175,-3.90033369,-3.351584142,-3.763091995
19176,-3.900046743,-3.351284434,-3.762780279
19177,-3.899759795,-3.351063288,-3.762504251
19178,-3.899472848,-3.350695007,-3.762140439
19179,-3.899185901,-3.350473861,-3.761864411
19180,-3.898898953,-3.350400549,-3.761774367
19181,-3.898612006,-3.350179403,-3.761498339
19182,-3.898325058,-3.349811122,-3.761134492
19183,-3.898038111,-3.349589976,-3.760858498
19184,-3.897751163,-3.34921884,-3.760519705
19185,-3.897464216,-3.348997695,-3.760243677
19186,-3.897177268,-3.348629414,-3.759879865
19187,-3.896890321,-3.348408268,-3.759603837
19188,-3.896603373,-3.348334955,-3.759513793
19189,-3.896316426,-3.34811381,-3.759237765
19190,-3.896029478,-3.347745529,-3.758873918
19191,-3.895742531,-3.347524383,-3.758597925
19192,-3.895455583,-3.347224675,-3.758286209
19193,-3.895168636,-3.347003529,-3.758010181
19194,-3.894881689,-3.346635248,-3.757646368
19195,-3.894594741,-3.346414102,-3.75737034
19196,-3.894307794,-3.346340789,-3.757280296
19197,-3.894020846,-3.346119644,-3.757004268
19198,-3.893733899,-3.345751363,-3.756640422
19199,-3.893446951,-3.345530217,-3.756364428
19200,-3.893160004,-3.346556101,-3.755161135
19201,-3.892873056,-3.346334955,-3.754885107
19202,-3.892586109,-3.345966674,-3.754521294
19203,-3.892299161,-3.345745528,-3.754245266
19204,-3.892012214,-3.345672216,-3.754155222
19205,-3.891725266,-3.34545107,-3.753879194
19206,-3.891438319,-3.345082789,-3.753515348
19207,-3.891151371,-3.344861643,-3.753239354
19208,-3.890864424,-3.344561935,-3.752927638
19209,-3.890577477,-3.344340789,-3.75265161
19210,-3.890290529,-3.343972508,-3.752287798
19211,-3.890003582,-3.343751362,-3.75201177
19212,-3.889716634,-3.34367805,-3.751921725
19213,-3.889429687,-3.343456904,-3.751645697
19214,-3.889142739,-3.343088623,-3.751281851
19215,-3.888855792,-3.342867477,-3.751005857
19216,-3.888568844,-3.342496341,-3.750667064
19217,-3.888281897,-3.342275195,-3.750391036
19218,-3.887994949,-3.341906914,-3.750027224
19219,-3.887708002,-3.341685768,-3.749751196
19220,-3.887421054,-3.341612456,-3.749661151
19221,-3.887134107,-3.34139131,-3.749385123
19222,-3.886847159,-3.341023029,-3.749021277
19223,-3.886560212,-3.340801883,-3.748745283
19224,-3.886273265,-3.340502175,-3.748433567
19225,-3.885986317,-3.340281029,-3.748157539
19226,-3.88569937,-3.339912748,-3.747793727
19227,-3.885412422,-3.339691602,-3.747517699
19228,-3.885125475,-3.33961829,-3.747427655
19229,-3.884838527,-3.339397144,-3.747151627
19230,-3.88455158,-3.339028863,-3.74678778
19231,-3.884264632,-3.338807717,-3.746511787
19232,-3.883977685,-3.338506587,-3.746241231
19233,-3.883690737,-3.338285442,-3.745965203
19234,-3.88340379,-3.33791716,-3.745601391
19235,-3.883116842,-3.337696015,-3.745325363
19236,-3.882829895,-3.337622702,-3.745235318
19237,-3.882542947,-3.337401557,-3.74495929
19238,-3.882256,-3.337033275,-3.744595444
19239,-3.881969052,-3.33681213,-3.74431945
19240,-3.881682105,-3.336512421,-3.744007734
19241,-3.881395158,-3.336291276,-3.743731706
19242,-3.88110821,-3.335922994,-3.743367894
19243,-3.880821263,-3.335701849,-3.743091866
19244,-3.880534315,-3.335628536,-3.743001822
19245,-3.880247368,-3.335407391,-3.742725794
19246,-3.87996042,-3.335039109,-3.742361947
19247,-3.879673473,-3.334817964,-3.742085954
19248,-3.879386525,-3.334446828,-3.74174716
19249,-3.879099578,-3.334225682,-3.741471132
19250,-3.87881263,-3.333857401,-3.74110732
19251,-3.878525683,-3.333636255,-3.740831292
19252,-3.878238735,-3.333562943,-3.740741248
19253,-3.877951788,-3.333341797,-3.74046522
19254,-3.87766484,-3.332973516,-3.740101374
19255,-3.877377893,-3.33275237,-3.73982538
19256,-3.877090946,-3.332452662,-3.739513664
19257,-3.876803998,-3.332231516,-3.739237636
19258,-3.876517051,-3.331863235,-3.738873823
19259,-3.876230103,-3.331642089,-3.738597795
19260,-3.875943156,-3.331568777,-3.738507751
19261,-3.875656208,-3.331347631,-3.738231723
19262,-3.875369261,-3.33097935,-3.737867877
19263,-3.875082313,-3.330758204,-3.737591883
19264,-3.874795366,-3.330456735,-3.73690137
19265,-3.874508418,-3.330235589,-3.736625342
19266,-3.874221471,-3.329867308,-3.736261529
19267,-3.873934523,-3.329646162,-3.735985501
19268,-3.873647576,-3.32957285,-3.735895457
19269,-3.873360628,-3.329351704,-3.735619429
19270,-3.873073681,-3.328983423,-3.735255583
19271,-3.872786734,-3.328762277,-3.734979589
19272,-3.872499786,-3.328462569,-3.734667873
19273,-3.872212839,-3.328241423,-3.734391845
19274,-3.871925891,-3.327873142,-3.734028033
19275,-3.871638944,-3.327651996,-3.733752005
19276,-3.871351996,-3.327578684,-3.73366196
19277,-3.871065049,-3.327357538,-3.733385932
19278,-3.870778101,-3.326989257,-3.733022086
19279,-3.870491154,-3.326768111,-3.732746092
19280,-3.870204206,-3.326396975,-3.732407299
19281,-3.869917259,-3.326175829,-3.732131271
19282,-3.869630311,-3.325807548,-3.731767459
19283,-3.869343364,-3.325586402,-3.731491431
19284,-3.869056416,-3.32551309,-3.731401386
19285,-3.868769469,-3.325291944,-3.731125358
19286,-3.868482522,-3.324923663,-3.730761512
19287,-3.868195574,-3.324702517,-3.730485518
19288,-3.867908627,-3.324402809,-3.730173802
19289,-3.867621679,-3.324181663,-3.729897774
19290,-3.867334732,-3.323813382,-3.729533962
19291,-3.867047784,-3.323592236,-3.729257934
19292,-3.866760837,-3.323518924,-3.72916789
19293,-3.866473889,-3.323297778,-3.728891862
19294,-3.866186942,-3.322929497,-3.728528016
19295,-3.865899994,-3.322708351,-3.728252022
19296,-3.865613047,-3.322407221,-3.727981466
19297,-3.865326099,-3.322186076,-3.727705438
19298,-3.865039152,-3.321817794,-3.727341626
19299,-3.864752204,-3.321596649,-3.727065598
19300,-3.864465257,-3.321523336,-3.726975553
19301,-3.864178309,-3.321302191,-3.726699525
19302,-3.863891362,-3.320933909,-3.726335679
19303,-3.863604415,-3.320712764,-3.726059685
19304,-3.863317467,-3.320413055,-3.725747969
19305,-3.86303052,-3.32019191,-3.725471941
19306,-3.862743572,-3.319823629,-3.725108129
19307,-3.862456625,-3.319602483,-3.724832101
19308,-3.862169677,-3.31952917,-3.724742057
19309,-3.86188273,-3.319308025,-3.724466029
19310,-3.861595782,-3.318939744,-3.724102183
19311,-3.861308835,-3.318718598,-3.723826188
19312,-3.861021887,-3.318347462,-3.723487395
19313,-3.86073494,-3.318126316,-3.723211367
19314,-3.860447992,-3.317758035,-3.722847555
19315,-3.860161045,-3.317536889,-3.722571527
19316,-3.859874097,-3.317463577,-3.722481483
19317,-3.85958715,-3.317242431,-3.722205455
19318,-3.859300203,-3.31687415,-3.721841609
19319,-3.859013255,-3.316653004,-3.721565615
19320,-3.858726308,-3.316353296,-3.721253899
19321,-3.85843936,-3.31613215,-3.720977871
19322,-3.858152413,-3.315763869,-3.720614058
19323,-3.857865465,-3.315542723,-3.72033803
19324,-3.857578518,-3.315469411,-3.720247986
19325,-3.85729157,-3.315248265,-3.719971958
19326,-3.857004623,-3.314879984,-3.719608112
19327,-3.856717675,-3.314658838,-3.719332118
19328,-3.856430728,-3.315388528,-3.720239519
19329,-3.85614378,-3.315167382,-3.719963491
19330,-3.855856833,-3.314799101,-3.719599679
19331,-3.855569885,-3.314577955,-3.719323651
19332,-3.855282938,-3.314504643,-3.719233607
19333,-3.854995991,-3.314283497,-3.718957579
19334,-3.854709043,-3.313915216,-3.718593733
19335,-3.854422096,-3.31369407,-3.718317738
19336,-3.854135148,-3.313394362,-3.718006023
19337,-3.853848201,-3.313173216,-3.717729995
19338,-3.853561253,-3.312804935,-3.717366182
19339,-3.853274306,-3.312583789,-3.717090154
19340,-3.852987358,-3.312510477,-3.71700011
19341,-3.852700411,-3.312289331,-3.716724082
19342,-3.852413463,-3.31192105,-3.716360236
19343,-3.852126516,-3.311699904,-3.716084242
19344,-3.851839568,-3.311328768,-3.715745449
19345,-3.851552621,-3.311107622,-3.715469421
19346,-3.851265673,-3.310739341,-3.715105608
19347,-3.850978726,-3.310518196,-3.71482958
19348,-3.850691779,-3.310444883,-3.714739536
19349,-3.850404831,-3.310223737,-3.714463508
19350,-3.850117884,-3.309855456,-3.714099662
19351,-3.849830936,-3.309634311,-3.713823668
19352,-3.849543989,-3.309334602,-3.713511952
19353,-3.849257041,-3.309113457,-3.713235924
19354,-3.848970094,-3.308745175,-3.712872112
19355,-3.848683146,-3.30852403,-3.712596084
19356,-3.848396199,-3.308450717,-3.712506039
19357,-3.848109251,-3.308229571,-3.712230011
19358,-3.847822304,-3.30786129,-3.711866165
19359,-3.847535356,-3.307640145,-3.711590171
19360,-3.847248409,-3.307339015,-3.711319616
19361,-3.846961461,-3.307117869,-3.711043588
19362,-3.846674514,-3.306749588,-3.710679775
19363,-3.846387566,-3.306528442,-3.710403747
19364,-3.846100619,-3.30645513,-3.710313703
19365,-3.845813672,-3.306233984,-3.710037675
19366,-3.845526724,-3.305865703,-3.709673829
19367,-3.845239777,-3.305644557,-3.709397835
19368,-3.844952829,-3.305344849,-3.709086119
19369,-3.844665882,-3.305123703,-3.708810091
19370,-3.844378934,-3.304755422,-3.708446279
19371,-3.844091987,-3.304534276,-3.708170251
19372,-3.843805039,-3.304460964,-3.708080206
19373,-3.843518092,-3.304239818,-3.707804178
19374,-3.843231144,-3.303871537,-3.707440332
19375,-3.842944197,-3.303650391,-3.707164338
19376,-3.842657249,-3.303279255,-3.706825545
19377,-3.842370302,-3.303058109,-3.706549517
19378,-3.842083354,-3.302689828,-3.706185705
19379,-3.841796407,-3.302468682,-3.705909677
19380,-3.84150946,-3.30239537,-3.705819632
19381,-3.841222512,-3.302174224,-3.705543604
19382,-3.840935565,-3.301805943,-3.705179758
19383,-3.840648617,-3.301584797,-3.704903764
19384,-3.84036167,-3.301285089,-3.704592048
19385,-3.840074722,-3.301063943,-3.70431602
19386,-3.839787775,-3.300695662,-3.703952208
19387,-3.839500827,-3.300474516,-3.70367618
19388,-3.83921388,-3.300401204,-3.703586136
19389,-3.838926932,-3.300180058,-3.703310108
19390,-3.838639985,-3.299811777,-3.702946262
19391,-3.838353037,-3.299590631,-3.702670267
19392,-3.83806609,-3.299289162,-3.701979754
19393,-3.837779142,-3.299068016,-3.701703726
19394,-3.837492195,-3.298699735,-3.701339914
19395,-3.837205248,-3.298478589,-3.701063886
19396,-3.8369183,-3.298405277,-3.700973842
19397,-3.836631353,-3.298184131,-3.700697814
19398,-3.836344405,-3.29781585,-3.700333968
19399,-3.836057458,-3.297594704,-3.700057973
19400,-3.83577051,-3.297294996,-3.699746257
19401,-3.835483563,-3.29707385,-3.69947023
19402,-3.835196615,-3.296705569,-3.699106417
19403,-3.834909668,-3.296484423,-3.698830389
19404,-3.83462272,-3.296411111,-3.698740345
19405,-3.834335773,-3.296189965,-3.698464317
19406,-3.834048825,-3.295821684,-3.698100471
19407,-3.833761878,-3.295600538,-3.697824477
19408,-3.83347493,-3.295229402,-3.697485684
19409,-3.833187983,-3.295008256,-3.697209656
19410,-3.832901035,-3.294639975,-3.696845843
19411,-3.832614088,-3.29441883,-3.696569815
19412,-3.832327141,-3.294345517,-3.696479771
19413,-3.832040193,-3.294124371,-3.696203743
19414,-3.831753246,-3.29375609,-3.695839897
19415,-3.831466298,-3.293534945,-3.695563903
19416,-3.831179351,-3.293235236,-3.695252187
19417,-3.830892403,-3.293014091,-3.694976159
19418,-3.830605456,-3.292645809,-3.694612347
19419,-3.830318508,-3.292424664,-3.694336319
19420,-3.830031561,-3.292351351,-3.694246274
19421,-3.829744613,-3.292130205,-3.693970246
19422,-3.829457666,-3.291761924,-3.6936064
19423,-3.829170718,-3.291540779,-3.693330406
19424,-3.828883771,-3.291239649,-3.693059851
19425,-3.828596823,-3.291018503,-3.692783823
19426,-3.828309876,-3.290650222,-3.69242001
19427,-3.828022929,-3.290429076,-3.692143982
19428,-3.827735981,-3.290355764,-3.692053938
19429,-3.827449034,-3.290134618,-3.69177791
19430,-3.827162086,-3.289766337,-3.691414064
19431,-3.826875139,-3.289545191,-3.69113807
19432,-3.826588191,-3.289245483,-3.690826354
19433,-3.826301244,-3.289024337,-3.690550326
19434,-3.826014296,-3.288656056,-3.690186514
19435,-3.825727349,-3.28843491,-3.689910486
19436,-3.825440401,-3.288361598,-3.689820441
19437,-3.825153454,-3.288140452,-3.689544413
19438,-3.824866506,-3.287772171,-3.689180567
19439,-3.824579559,-3.287551025,-3.688904573
19440,-3.824292611,-3.287179889,-3.68856578
19441,-3.824005664,-3.286958743,-3.688289752
19442,-3.823718717,-3.286590462,-3.68792594
19443,-3.823431769,-3.286369316,-3.687649912
19444,-3.823144822,-3.286296004,-3.687559867
19445,-3.822857874,-3.286074858,-3.687283839
19446,-3.822570927,-3.285706577,-3.686919993
19447,-3.822283979,-3.285485431,-3.686643999
19448,-3.821997032,-3.285185723,-3.686332283
19449,-3.821710084,-3.284964577,-3.686056255
19450,-3.821423137,-3.284596296,-3.685692443
19451,-3.821136189,-3.28437515,-3.685416415
19452,-3.820849242,-3.284301838,-3.685326371
19453,-3.820562294,-3.284080692,-3.685050343
19454,-3.820275347,-3.283712411,-3.684686497
19455,-3.819988399,-3.283491265,-3.684410502
19456,-3.819701452,-3.284655291,-3.686834003
19457,-3.819414504,-3.284434145,-3.686557975
19458,-3.819127557,-3.284065864,-3.686194163
19459,-3.81884061,-3.283844718,-3.685918135
19460,-3.818553662,-3.283771406,-3.68582809
19461,-3.818266715,-3.28355026,-3.685552062
19462,-3.817979767,-3.283181979,-3.685188217
19463,-3.81769282,-3.282960833,-3.684912222
19464,-3.817405872,-3.282661125,-3.684600506
19465,-3.817118925,-3.282439979,-3.684324478
19466,-3.816831977,-3.282071698,-3.683960666
19467,-3.81654503,-3.281850552,-3.683684638
19468,-3.816258082,-3.28177724,-3.683594593
19469,-3.815971135,-3.281556094,-3.683318566
19470,-3.815684187,-3.281187813,-3.68295472
19471,-3.81539724,-3.280966667,-3.682678725
19472,-3.815110292,-3.280595531,-3.682339932
19473,-3.814823345,-3.280374386,-3.682063904
19474,-3.814536398,-3.280006104,-3.681700092
19475,-3.81424945,-3.279784959,-3.681424064
19476,-3.813962503,-3.279711646,-3.681334019
19477,-3.813675555,-3.279490501,-3.681057992
19478,-3.813388608,-3.279122219,-3.680694146
19479,-3.81310166,-3.278901074,-3.680418151
19480,-3.812814713,-3.278601365,-3.680106435
19481,-3.812527765,-3.27838022,-3.679830407
19482,-3.812240818,-3.278011939,-3.679466595
19483,-3.81195387,-3.277790793,-3.679190567
19484,-3.811666923,-3.27771748,-3.679100523
19485,-3.811379975,-3.277496335,-3.678824495
19486,-3.811093028,-3.277128053,-3.678460649
19487,-3.81080608,-3.276906908,-3.678184655
19488,-3.810519133,-3.276605778,-3.677914099
19489,-3.810232185,-3.276384632,-3.677638071
19490,-3.809945238,-3.276016351,-3.677274259
19491,-3.809658291,-3.275795205,-3.676998231
19492,-3.809371343,-3.275721893,-3.676908186
19493,-3.809084396,-3.275500747,-3.676632158
19494,-3.808797448,-3.275132466,-3.676268313
19495,-3.808510501,-3.27491132,-3.675992318
19496,-3.808223553,-3.274611612,-3.675680602
19497,-3.807936606,-3.274390466,-3.675404574
19498,-3.807649658,-3.274022185,-3.675040762
19499,-3.807362711,-3.273801039,-3.674764734
19500,-3.807075763,-3.273727727,-3.67467469
19501,-3.806788816,-3.273506581,-3.674398662
19502,-3.806501868,-3.2731383,-3.674034816
19503,-3.806214921,-3.272917154,-3.673758822
19504,-3.805927973,-3.272546018,-3.673420028
19505,-3.805641026,-3.272324872,-3.673144
19506,-3.805354079,-3.271956591,-3.672780188
19507,-3.805067131,-3.271735445,-3.67250416
19508,-3.804780184,-3.271662133,-3.672414116
19509,-3.804493236,-3.271440987,-3.672138088
19510,-3.804206289,-3.271072706,-3.671774242
19511,-3.803919341,-3.27085156,-3.671498248
19512,-3.803632394,-3.270551852,-3.671186532
19513,-3.803345446,-3.270330706,-3.670910504
19514,-3.803058499,-3.269962425,-3.670546691
19515,-3.802771551,-3.26974128,-3.670270663
19516,-3.802484604,-3.269667967,-3.670180619
19517,-3.802197656,-3.269446821,-3.669904591
19518,-3.801910709,-3.26907854,-3.669540746
19519,-3.801623761,-3.268857395,-3.669264751
19520,-3.801336814,-3.268555925,-3.668574238
19521,-3.801049866,-3.268334779,-3.66829821
19522,-3.800762919,-3.267966498,-3.667934397
19523,-3.800475972,-3.267745352,-3.667658369
19524,-3.800189024,-3.26767204,-3.667568325
19525,-3.799902077,-3.267450894,-3.667292297
19526,-3.799615129,-3.267082613,-3.666928452
19527,-3.799328182,-3.266861467,-3.666652457
19528,-3.799041234,-3.266561759,-3.666340741
19529,-3.798754287,-3.266340613,-3.666064713
19530,-3.798467339,-3.265972332,-3.665700901
19531,-3.798180392,-3.265751186,-3.665424873
19532,-3.797893444,-3.265677874,-3.665334828
19533,-3.797606497,-3.265456728,-3.6650588
19534,-3.797319549,-3.265088447,-3.664694955
19535,-3.797032602,-3.264867301,-3.66441896
19536,-3.796745654,-3.264496165,-3.664080167
19537,-3.796458707,-3.26427502,-3.663804139
19538,-3.79617176,-3.263906739,-3.663440327
19539,-3.795884812,-3.263685593,-3.663164299
19540,-3.795597865,-3.26361228,-3.663074254
19541,-3.795310917,-3.263391135,-3.662798226
19542,-3.79502397,-3.263022853,-3.662434381
19543,-3.794737022,-3.262801708,-3.662158386
19544,-3.794450075,-3.262501999,-3.66184667
19545,-3.794163127,-3.262280854,-3.661570642
19546,-3.79387618,-3.261912573,-3.66120683
19547,-3.793589232,-3.261691427,-3.660930802
19548,-3.793302285,-3.261618114,-3.660840757
19549,-3.793015337,-3.261396969,-3.66056473
19550,-3.79272839,-3.261028688,-3.660200884
19551,-3.792441442,-3.260807542,-3.659924889
19552,-3.792154495,-3.260506412,-3.659654334
19553,-3.791867548,-3.260285266,-3.659378306
19554,-3.7915806,-3.259916985,-3.659014494
19555,-3.791293653,-3.259695839,-3.658738466
19556,-3.791006705,-3.259622527,-3.658648421
19557,-3.790719758,-3.259401381,-3.658372393
19558,-3.79043281,-3.2590331,-3.658008548
19559,-3.790145863,-3.258811954,-3.657732553
19560,-3.789858915,-3.258512246,-3.657420837
19561,-3.789571968,-3.2582911,-3.657144809
19562,-3.78928502,-3.257922819,-3.656780997
19563,-3.788998073,-3.257701673,-3.656504969
19564,-3.788711125,-3.257628361,-3.656414924
19565,-3.788424178,-3.257407215,-3.656138896
19566,-3.78813723,-3.257038934,-3.655775051
19567,-3.787850283,-3.256817788,-3.655499056
19568,-3.787563335,-3.256446652,-3.655160263
19569,-3.787276388,-3.256225506,-3.654884235
19570,-3.786989441,-3.255857225,-3.654520423
19571,-3.786702493,-3.25563608,-3.654244395
19572,-3.786415546,-3.255562767,-3.65415435
19573,-3.786128598,-3.255341621,-3.653878322
19574,-3.785841651,-3.25497334,-3.653514477
19575,-3.785554703,-3.254752194,-3.653238482
19576,-3.785267756,-3.254452486,-3.652926766
19577,-3.784980808,-3.25423134,-3.652650738
19578,-3.784693861,-3.253863059,-3.652286926
19579,-3.784406913,-3.253641914,-3.652010898
19580,-3.784119966,-3.253568601,-3.651920854
19581,-3.783833018,-3.253347455,-3.651644826
19582,-3.783546071,-3.252979174,-3.65128098
19583,-3.783259123,-3.252758029,-3.651004986
19584,-3.782972176,-3.253487718,-3.651912387
19585,-3.782685229,-3.253266573,-3.651636359
19586,-3.782398281,-3.252898291,-3.651272547
19587,-3.782111334,-3.252677146,-3.650996519
19588,-3.781824386,-3.252603833,-3.650906474
19589,-3.781537439,-3.252382688,-3.650630447
19590,-3.781250491,-3.252014406,-3.650266601
19591,-3.780963544,-3.251793261,-3.649990606
19592,-3.780676596,-3.251493552,-3.64967889
19593,-3.780389649,-3.251272407,-3.649402862
19594,-3.780102701,-3.250904126,-3.64903905
19595,-3.779815754,-3.25068298,-3.648763022
19596,-3.779528806,-3.250609667,-3.648672978
19597,-3.779241859,-3.250388522,-3.64839695
19598,-3.778954911,-3.250020241,-3.648033104
19599,-3.778667964,-3.249799095,-3.64775711
19600,-3.778381016,-3.249427959,-3.647418316
19601,-3.778094069,-3.249206813,-3.647142288
19602,-3.777807122,-3.248838532,-3.646778476
19603,-3.777520174,-3.248617386,-3.646502448
19604,-3.777233227,-3.248544074,-3.646412404
19605,-3.776946279,-3.248322928,-3.646136376
19606,-3.776659332,-3.247954647,-3.64577253
19607,-3.776372384,-3.247733501,-3.645496536
19608,-3.776085437,-3.247433793,-3.64518482
19609,-3.775798489,-3.247212647,-3.644908792
19610,-3.775511542,-3.246844366,-3.644544979
19611,-3.775224594,-3.24662322,-3.644268952
19612,-3.774937647,-3.246549908,-3.644178907
19613,-3.774650699,-3.246328762,-3.643902879
19614,-3.774363752,-3.245960481,-3.643539034
19615,-3.774076804,-3.245739335,-3.643263039
19616,-3.773789857,-3.245438205,-3.642992483
19617,-3.773502909,-3.245217059,-3.642716455
19618,-3.773215962,-3.244848778,-3.642352643
19619,-3.772929015,-3.244627633,-3.642076615
19620,-3.772642067,-3.24455432,-3.641986571
19621,-3.77235512,-3.244333174,-3.641710543
19622,-3.772068172,-3.243964893,-3.641346697
19623,-3.771781225,-3.243743747,-3.641070703
19624,-3.771494277,-3.243444039,-3.640758987
19625,-3.77120733,-3.243222893,-3.640482959
19626,-3.770920382,-3.242854612,-3.640119146
19627,-3.770633435,-3.242633467,-3.639843118
19628,-3.770346487,-3.242560154,-3.639753074
19629,-3.77005954,-3.242339008,-3.639477046
19630,-3.769772592,-3.241970727,-3.639113201
19631,-3.769485645,-3.241749582,-3.638837206
19632,-3.769198697,-3.241378446,-3.638498413
19633,-3.76891175,-3.2411573,-3.638222385
19634,-3.768624803,-3.240789019,-3.637858572
19635,-3.768337855,-3.240567873,-3.637582544
19636,-3.768050908,-3.24049456,-3.6374925
19637,-3.76776396,-3.240273415,-3.637216472
19638,-3.767477013,-3.239905134,-3.636852627
19639,-3.767190065,-3.239683988,-3.636576632
19640,-3.766903118,-3.23938428,-3.636264916
19641,-3.76661617,-3.239163134,-3.635988888
19642,-3.766329223,-3.238794853,-3.635625076
19643,-3.766042275,-3.238573707,-3.635349048
19644,-3.765755328,-3.238500395,-3.635259003
19645,-3.76546838,-3.238279249,-3.634982975
19646,-3.765181433,-3.237910968,-3.63461913
19647,-3.764894485,-3.237689822,-3.634343135
19648,-3.764607538,-3.237388352,-3.633652622
19649,-3.76432059,-3.237167207,-3.633376594
19650,-3.764033643,-3.236798926,-3.633012782
19651,-3.763746696,-3.23657778,-3.632736754
19652,-3.763459748,-3.236504467,-3.632646709
19653,-3.763172801,-3.236283322,-3.632370681
19654,-3.762885853,-3.23591504,-3.632006836
19655,-3.762598906,-3.235693895,-3.631730841
19656,-3.762311958,-3.235394186,-3.631419125
19657,-3.762025011,-3.235173041,-3.631143097
19658,-3.761738063,-3.23480476,-3.630779285
19659,-3.761451116,-3.234583614,-3.630503257
19660,-3.761164168,-3.234510301,-3.630413212
19661,-3.760877221,-3.234289156,-3.630137185
19662,-3.760590273,-3.233920875,-3.629773339
19663,-3.760303326,-3.233699729,-3.629497344
19664,-3.760016378,-3.233328593,-3.629158551
19665,-3.759729431,-3.233107447,-3.628882523
19666,-3.759442484,-3.232739166,-3.628518711
19667,-3.759155536,-3.23251802,-3.628242683
19668,-3.758868589,-3.232444708,-3.628152638
19669,-3.758581641,-3.232223562,-3.62787661
19670,-3.758294694,-3.231855281,-3.627512765
19671,-3.758007746,-3.231634135,-3.62723677
19672,-3.757720799,-3.231334427,-3.626925054
19673,-3.757433851,-3.231113281,-3.626649026
19674,-3.757146904,-3.230745,-3.626285214
19675,-3.756859956,-3.230523854,-3.626009186
19676,-3.756573009,-3.230450542,-3.625919142
19677,-3.756286061,-3.230229396,-3.625643114
19678,-3.755999114,-3.229861115,-3.625279269
19679,-3.755712166,-3.229639969,-3.625003274
19680,-3.755425219,-3.229338839,-3.624732718
19681,-3.755138271,-3.229117693,-3.62445669
19682,-3.754851324,-3.228749412,-3.624092878
19683,-3.754564377,-3.228528267,-3.62381685
19684,-3.754277429,-3.228454954,-3.623726805
19685,-3.753990482,-3.228233808,-3.623450777
19686,-3.753703534,-3.227865527,-3.623086932
19687,-3.753416587,-3.227644382,-3.622810937
19688,-3.753129639,-3.227344673,-3.622499221
19689,-3.752842692,-3.227123528,-3.622223193
19690,-3.752555744,-3.226755246,-3.621859381
19691,-3.752268797,-3.226534101,-3.621583353
19692,-3.751981849,-3.226460788,-3.621493309
19693,-3.751694902,-3.226239642,-3.621217281
19694,-3.751407954,-3.225871361,-3.620853436
19695,-3.751121007,-3.225650216,-3.620577441
19696,-3.750834059,-3.22527908,-3.620238647
19697,-3.750547112,-3.225057934,-3.619962619
19698,-3.750260164,-3.224689653,-3.619598807
19699,-3.749973217,-3.224468507,-3.619322779
19700,-3.74968627,-3.224395194,-3.619232735
19701,-3.749399322,-3.224174049,-3.618956707
19702,-3.749112375,-3.223805768,-3.618592862
19703,-3.748825427,-3.223584622,-3.618316866
19704,-3.74853848,-3.223284914,-3.618005151
19705,-3.748251532,-3.223063768,-3.617729123
19706,-3.747964585,-3.222695487,-3.61736531
19707,-3.747677637,-3.222474341,-3.617089282
19708,-3.74739069,-3.222401029,-3.616999238
19709,-3.747103742,-3.222179883,-3.61672321
19710,-3.746816795,-3.221811602,-3.616359365
19711,-3.746529847,-3.221590456,-3.61608337
19712,-3.7462429,-3.222616339,-3.614880077
19713,-3.745955952,-3.222395194,-3.614604049
19714,-3.745669005,-3.222026913,-3.614240237
19715,-3.745382058,-3.221805767,-3.613964209
19716,-3.74509511,-3.221732454,-3.613874164
19717,-3.744808163,-3.221511309,-3.613598136
19718,-3.744521215,-3.221143028,-3.613234291
19719,-3.744234268,-3.220921882,-3.612958296
19720,-3.74394732,-3.220622174,-3.61264658
19721,-3.743660373,-3.220401028,-3.612370552
19722,-3.743373425,-3.220032747,-3.61200674
19723,-3.743086478,-3.219811601,-3.611730712
19724,-3.74279953,-3.219738288,-3.611640668
19725,-3.742512583,-3.219517143,-3.61136464
19726,-3.742225635,-3.219148862,-3.611000795
19727,-3.741938688,-3.218927716,-3.6107248
19728,-3.74165174,-3.21855658,-3.610386006
19729,-3.741364793,-3.218335434,-3.610109978
19730,-3.741077845,-3.217967153,-3.609746166
19731,-3.740790898,-3.217746007,-3.609470138
19732,-3.740503951,-3.217672695,-3.609380094
19733,-3.740217003,-3.217451549,-3.609104066
19734,-3.739930056,-3.217083268,-3.608740221
19735,-3.739643108,-3.216862122,-3.608464225
19736,-3.739356161,-3.216562414,-3.60815251
