,vout (V),,
code,nominal,seed=1,seed=2
138,-9.362951582,-8.052287763,-9.056578504
139,-9.362664634,-8.052066617,-9.056302475
140,-9.362377687,-8.051993307,-9.056212434
141,-9.36209074,-8.051772162,-9.055936406
142,-9.361803792,-8.05140388,-9.055572514
143,-9.361516845,-8.051182734,-9.055296566
144,-9.361229898,-8.050811603,-9.054957775
145,-9.36094295,-8.050590457,-9.054681746
146,-9.360656003,-8.050222175,-9.054317935
147,-9.360369056,-8.05000103,-9.054041906
148,-9.360082108,-8.04992772,-9.053951866
149,-9.359795161,-8.049706574,-9.053675837
150,-9.359508213,-8.049338292,-9.053311945
151,-9.359221266,-8.049117146,-9.053035997
152,-9.358934319,-8.048817435,-9.052724277
153,-9.358647371,-8.048596289,-9.052448248
154,-9.358360424,-8.048228007,-9.052084437
155,-9.358073477,-8.048006862,-9.051808409
156,-9.357786529,-8.047933552,-9.051718368
157,-9.357499582,-8.047712406,-9.051442339
158,-9.357212635,-8.047344124,-9.051078447
159,-9.356925687,-8.047122978,-9.050802499
160,-9.35663874,-8.046821844,-9.050531939
161,-9.356351793,-8.046600699,-9.05025591
162,-9.356064845,-8.046232417,-9.0498921
163,-9.355777898,-8.046011271,-9.049616071
164,-9.355490951,-8.045937961,-9.04952603
165,-9.355204003,-8.045716815,-9.049250001
166,-9.354917056,-8.045348533,-9.048886109
167,-9.354630109,-8.045127387,-9.048610162
168,-9.354343161,-8.044827677,-9.048298441
169,-9.354056214,-8.044606531,-9.048022413
170,-9.353769267,-8.044238249,-9.047658602
171,-9.353482319,-8.044017103,-9.047382573
172,-9.353195372,-8.043943793,-9.047292532
173,-9.352908425,-8.043722647,-9.047016503
174,-9.352621477,-8.043354365,-9.046652612
175,-9.35233453,-8.043133219,-9.046376664
176,-9.352047583,-8.042762089,-9.046037873
177,-9.351760635,-8.042540943,-9.045761844
178,-9.351473688,-8.042172661,-9.045398033
179,-9.351186741,-8.041951515,-9.045122004
180,-9.350899793,-8.041878205,-9.045031964
181,-9.350612846,-8.04165706,-9.044755935
182,-9.350325899,-8.041288778,-9.044392043
183,-9.350038951,-8.041067632,-9.044116095
184,-9.349752004,-8.040767921,-9.043804375
185,-9.349465057,-8.040546775,-9.043528346
186,-9.349178109,-8.040178493,-9.043164535
187,-9.348891162,-8.039957347,-9.042888506
188,-9.348604215,-8.039884037,-9.042798466
189,-9.348317267,-8.039662892,-9.042522437
190,-9.34803032,-8.03929461,-9.042158545
191,-9.347743373,-8.039073464,-9.041882597
192,-9.347456425,-8.038772001,-9.041192088
193,-9.347169478,-8.038550855,-9.04091606
194,-9.346882531,-8.038182573,-9.040552249
195,-9.346595583,-8.037961427,-9.04027622
196,-9.346308636,-8.037888117,-9.040186179
197,-9.346021688,-8.037666971,-9.03991015
198,-9.345734741,-8.037298689,-9.039546259
199,-9.345447794,-8.037077544,-9.039270311
200,-9.345160846,-8.036777833,-9.038958591
201,-9.344873899,-8.036556687,-9.038682562
202,-9.344586952,-8.036188405,-9.038318751
203,-9.344300004,-8.035967259,-9.038042722
204,-9.344013057,-8.035893949,-9.037952681
205,-9.34372611,-8.035672803,-9.037676653
206,-9.343439162,-8.035304521,-9.037312761
207,-9.343152215,-8.035083376,-9.037036813
208,-9.342865268,-8.034712245,-9.036698022
209,-9.34257832,-8.034491099,-9.036421993
210,-9.342291373,-8.034122817,-9.036058182
211,-9.342004426,-8.033901671,-9.035782153
212,-9.341717478,-8.033828361,-9.035692113
213,-9.341430531,-8.033607216,-9.035416084
214,-9.341143584,-8.033238934,-9.035052192
215,-9.340856636,-8.033017788,-9.034776244
216,-9.340569689,-8.032718077,-9.034464524
217,-9.340282742,-8.032496931,-9.034188495
218,-9.339995794,-8.032128649,-9.033824684
219,-9.339708847,-8.031907503,-9.033548656
220,-9.3394219,-8.031834194,-9.033458615
221,-9.339134952,-8.031613048,-9.033182586
222,-9.338848005,-8.031244766,-9.032818694
223,-9.338561058,-8.03102362,-9.032542746
224,-9.33827411,-8.030722486,-9.032272186
225,-9.337987163,-8.03050134,-9.031996157
226,-9.337700216,-8.030133058,-9.031632347
227,-9.337413268,-8.029911913,-9.031356318
228,-9.337126321,-8.029838603,-9.031266277
229,-9.336839374,-8.029617457,-9.030990248
230,-9.336552426,-8.029249175,-9.030626357
231,-9.336265479,-8.029028029,-9.030350409
232,-9.335978532,-8.028728318,-9.030038688
233,-9.335691584,-8.028507173,-9.02976266
234,-9.335404637,-8.028138891,-9.029398849
235,-9.33511769,-8.027917745,-9.02912282
236,-9.334830742,-8.027844435,-9.029032779
237,-9.334543795,-8.027623289,-9.02875675
238,-9.334256848,-8.027255007,-9.028392859
239,-9.3339699,-8.027033861,-9.028116911
240,-9.333682953,-8.026662731,-9.02777812
241,-9.333396005,-8.026441585,-9.027502091
242,-9.333109058,-8.026073303,-9.02713828
243,-9.332822111,-8.025852157,-9.026862251
244,-9.332535163,-8.025778847,-9.026772211
245,-9.332248216,-8.025557701,-9.026496182
246,-9.331961269,-8.025189419,-9.02613229
247,-9.331674321,-8.024968274,-9.025856342
248,-9.331387374,-8.024668563,-9.025544622
249,-9.331100427,-8.024447417,-9.025268593
250,-9.330813479,-8.024079135,-9.024904782
251,-9.330526532,-8.023857989,-9.024628753
252,-9.330239585,-8.023784679,-9.024538713
253,-9.329952637,-8.023563533,-9.024262684
254,-9.32966569,-8.023195251,-9.023898792
255,-9.329378743,-8.022974106,-9.023622844
256,-9.329091795,-8.024,-9.022419535
257,-9.328804848,-8.023778854,-9.022143506
258,-9.328517901,-8.023410572,-9.021779696
259,-9.328230953,-8.023189426,-9.021503667
260,-9.327944006,-8.023116116,-9.021413626
261,-9.327657059,-8.022894971,-9.021137597
262,-9.327370111,-8.022526689,-9.020773706
263,-9.327083164,-8.022305543,-9.020497758
264,-9.326796217,-8.022005832,-9.020186037
265,-9.326509269,-8.021784686,-9.019910009
266,-9.326222322,-8.021416404,-9.019546198
267,-9.325935375,-8.021195258,-9.019270169
268,-9.325648427,-8.021121949,-9.019180128
269,-9.32536148,-8.020900803,-9.018904099
270,-9.325074533,-8.020532521,-9.018540208
271,-9.324787585,-8.020311375,-9.01826426
272,-9.324500638,-8.019940244,-9.017925469
273,-9.324213691,-8.019719098,-9.01764944
274,-9.323926743,-8.019350816,-9.017285629
275,-9.323639796,-8.019129671,-9.0170096
276,-9.323352849,-8.019056361,-9.016919559
277,-9.323065901,-8.018835215,-9.016643531
278,-9.322778954,-8.018466933,-9.016279639
279,-9.322492007,-8.018245787,-9.016003691
280,-9.322205059,-8.017946076,-9.015691971
281,-9.321918112,-8.01772493,-9.015415942
282,-9.321631164,-8.017356649,-9.015052131
283,-9.321344217,-8.017135503,-9.014776102
284,-9.32105727,-8.017062193,-9.014686062
285,-9.320770322,-8.016841047,-9.014410033
286,-9.320483375,-8.016472765,-9.014046141
287,-9.320196428,-8.016251619,-9.013770193
288,-9.31990948,-8.015950486,-9.013499633
289,-9.319622533,-8.01572934,-9.013223604
290,-9.319335586,-8.015361058,-9.012859794
291,-9.319048638,-8.015139912,-9.012583765
292,-9.318761691,-8.015066602,-9.012493724
293,-9.318474744,-8.014845456,-9.012217695
294,-9.318187796,-8.014477174,-9.011853804
295,-9.317900849,-8.014256029,-9.011577856
296,-9.317613902,-8.013956318,-9.011266135
297,-9.317326954,-8.013735172,-9.010990106
298,-9.317040007,-8.01336689,-9.010626296
299,-9.31675306,-8.013145744,-9.010350267
300,-9.316466112,-8.013072434,-9.010260226
301,-9.316179165,-8.012851288,-9.009984197
302,-9.315892218,-8.012483006,-9.009620306
303,-9.31560527,-8.012261861,-9.009344358
304,-9.315318323,-8.01189073,-9.009005567
305,-9.315031376,-8.011669584,-9.008729538
306,-9.314744428,-8.011301302,-9.008365727
307,-9.314457481,-8.011080156,-9.008089698
308,-9.314170534,-8.011006846,-9.007999657
309,-9.313883586,-8.010785701,-9.007723629
310,-9.313596639,-8.010417419,-9.007359737
311,-9.313309692,-8.010196273,-9.007083789
312,-9.313022744,-8.009896562,-9.006772069
313,-9.312735797,-8.009675416,-9.00649604
314,-9.31244885,-8.009307134,-9.006132229
315,-9.312161902,-8.009085988,-9.0058562
316,-9.311874955,-8.009012678,-9.005766159
317,-9.311588008,-8.008791533,-9.005490131
318,-9.31130106,-8.008423251,-9.005126239
319,-9.311014113,-8.008202105,-9.004850291
320,-9.310727165,-8.007900642,-9.004159782
321,-9.310440218,-8.007679496,-9.003883753
322,-9.310153271,-8.007311214,-9.003519943
323,-9.309866323,-8.007090068,-9.003243914
324,-9.309579376,-8.007016758,-9.003153873
325,-9.309292429,-8.006795612,-9.002877844
326,-9.309005481,-8.00642733,-9.002513953
327,-9.308718534,-8.006206185,-9.002238005
328,-9.308431587,-8.005906474,-9.001926284
329,-9.308144639,-8.005685328,-9.001650255
330,-9.307857692,-8.005317046,-9.001286445
331,-9.307570745,-8.0050959,-9.001010416
332,-9.307283797,-8.00502259,-9.000920375
333,-9.30699685,-8.004801444,-9.000644346
334,-9.306709903,-8.004433163,-9.000280455
335,-9.306422955,-8.004212017,-9.000004507
336,-9.306136008,-8.003840886,-8.999665716
337,-9.305849061,-8.00361974,-8.999389687
338,-9.305562113,-8.003251458,-8.999025876
339,-9.305275166,-8.003030312,-8.998749847
340,-9.304988219,-8.002957002,-8.998659806
341,-9.304701271,-8.002735857,-8.998383778
342,-9.304414324,-8.002367575,-8.998019886
343,-9.304127377,-8.002146429,-8.997743938
344,-9.303840429,-8.001846718,-8.997432218
345,-9.303553482,-8.001625572,-8.997156189
346,-9.303266535,-8.00125729,-8.996792378
347,-9.302979587,-8.001036144,-8.996516349
348,-9.30269264,-8.000962835,-8.996426308
349,-9.302405693,-8.000741689,-8.99615028
350,-9.302118745,-8.000373407,-8.995786388
351,-9.301831798,-8.000152261,-8.99551044
352,-9.301544851,-7.999851127,-8.99523988
353,-9.301257903,-7.999629982,-8.994963851
354,-9.300970956,-7.9992617,-8.994600041
355,-9.300684009,-7.999040554,-8.994324012
356,-9.300397061,-7.998967244,-8.994233971
357,-9.300110114,-7.998746098,-8.993957942
358,-9.299823166,-7.998377816,-8.993594051
359,-9.299536219,-7.99815667,-8.993318103
360,-9.299249272,-7.997856959,-8.993006382
361,-9.298962324,-7.997635814,-8.992730353
362,-9.298675377,-7.997267532,-8.992366543
363,-9.29838843,-7.997046386,-8.992090514
364,-9.298101482,-7.996973076,-8.992000473
365,-9.297814535,-7.99675193,-8.991724444
366,-9.297527588,-7.996383648,-8.991360553
367,-9.29724064,-7.996162502,-8.991084605
368,-9.296953693,-7.995791372,-8.990745813
369,-9.296666746,-7.995570226,-8.990469785
370,-9.296379798,-7.995201944,-8.990105974
371,-9.296092851,-7.994980798,-8.989829945
372,-9.295805904,-7.994907488,-8.989739904
373,-9.295518956,-7.994686342,-8.989463875
374,-9.295232009,-7.99431806,-8.989099984
375,-9.294945062,-7.994096915,-8.988824036
376,-9.294658114,-7.993797204,-8.988512315
377,-9.294371167,-7.993576058,-8.988236287
378,-9.29408422,-7.993207776,-8.987872476
379,-9.293797272,-7.99298663,-8.987596447
380,-9.293510325,-7.99291332,-8.987506406
381,-9.293223378,-7.992692174,-8.987230377
382,-9.29293643,-7.992323892,-8.986866486
383,-9.292649483,-7.992102747,-8.986590538
384,-9.292362536,-7.992832431,-8.987497929
385,-9.292075588,-7.992611286,-8.9872219
386,-9.291788641,-7.992243004,-8.98685809
387,-9.291501694,-7.992021858,-8.986582061
388,-9.291214746,-7.991948548,-8.98649202
389,-9.290927799,-7.991727402,-8.986215991
390,-9.290640852,-7.99135912,-8.9858521
