code,MC1_seed=1,MC1_seed=2
198,-0.022754788,-0.022209203
199,-0.022754126,-0.022208475
200,-0.022753324,-0.022207597
201,-0.022752663,-0.022206869
202,-0.022751954,-0.022206312
203,-0.022751293,-0.022205584
204,-0.022750646,-0.02220469
205,-0.022749985,-0.022203962
206,-0.022749276,-0.022203405
207,-0.022748614,-0.022202677
208,-0.022749002,-0.022203143
209,-0.02274834,-0.022202415
210,-0.022747631,-0.022201858
211,-0.02274697,-0.022201131
212,-0.022746324,-0.022200236
213,-0.022745662,-0.022199508
214,-0.022744953,-0.022198951
215,-0.022744292,-0.022198224
216,-0.02274349,-0.022197345
217,-0.022742828,-0.022196617
218,-0.02274212,-0.02219606
219,-0.022741458,-0.022195333
220,-0.022740812,-0.022194438
221,-0.02274015,-0.022193711
222,-0.022739441,-0.022193153
223,-0.02273878,-0.022192426
224,-0.022737022,-0.02219532
225,-0.02273636,-0.022194592
226,-0.022735651,-0.022194035
227,-0.02273499,-0.022193307
228,-0.022734343,-0.022192413
229,-0.022733682,-0.022191685
230,-0.022732973,-0.022191128
231,-0.022732312,-0.0221904
232,-0.02273151,-0.022189522
233,-0.022730848,-0.022188794
234,-0.022730139,-0.022188237
235,-0.022729478,-0.022187509
236,-0.022728832,-0.022186615
237,-0.02272817,-0.022185887
238,-0.022727461,-0.02218533
239,-0.0227268,-0.022184602
240,-0.022727187,-0.022185068
241,-0.022726526,-0.02218434
242,-0.022725817,-0.022183783
243,-0.022725156,-0.022183056
244,-0.022724509,-0.022182161
245,-0.022723848,-0.022181433
246,-0.022723139,-0.022180876
247,-0.022722477,-0.022180149
248,-0.022721675,-0.02217927
249,-0.022721014,-0.022178542
250,-0.022720305,-0.022177985
251,-0.022719644,-0.022177258
252,-0.022718997,-0.022176363
253,-0.022718336,-0.022175635
254,-0.022717627,-0.022175078
255,-0.022716966,-0.022174351
256,-0.022717225,-0.022168313
257,-0.022716564,-0.022167585
258,-0.022715855,-0.022167028
259,-0.022715193,-0.0221663
260,-0.022714547,-0.022165406
261,-0.022713885,-0.022164678
262,-0.022713176,-0.022164121
263,-0.022712515,-0.022163393
264,-0.022711713,-0.022162515
265,-0.022711052,-0.022161787
266,-0.022710343,-0.02216123
267,-0.022709681,-0.022160502
268,-0.022709035,-0.022159608
269,-0.022708373,-0.02215888
270,-0.022707665,-0.022158323
271,-0.022707003,-0.022157596
272,-0.02270739,-0.022158061
273,-0.022706729,-0.022157333
274,-0.02270602,-0.022156776
275,-0.022705359,-0.022156049
276,-0.022704712,-0.022155154
277,-0.022704051,-0.022154426
278,-0.022703342,-0.022153869
279,-0.022702681,-0.022153142
280,-0.022701879,-0.022152263
281,-0.022701217,-0.022151535
282,-0.022700508,-0.022150978
283,-0.022699847,-0.022150251
284,-0.0226992,-0.022149356
285,-0.022698539,-0.022148629
286,-0.02269783,-0.022148072
287,-0.022697169,-0.022147344
288,-0.02269541,-0.022150238
289,-0.022694749,-0.02214951
290,-0.02269404,-0.022148953
291,-0.022693379,-0.022148225
292,-0.022692732,-0.022147331
293,-0.022692071,-0.022146603
294,-0.022691362,-0.022146046
295,-0.022690701,-0.022145318
296,-0.022689898,-0.02214444
297,-0.022689237,-0.022143712
298,-0.022688528,-0.022143155
299,-0.022687867,-0.022142427
300,-0.02268722,-0.022141533
301,-0.022686559,-0.022140805
302,-0.02268585,-0.022140248
303,-0.022685189,-0.022139521
304,-0.022685576,-0.022139986
305,-0.022684915,-0.022139258
306,-0.022684206,-0.022138701
307,-0.022683544,-0.022137974
308,-0.022682898,-0.022137079
309,-0.022682236,-0.022136351
310,-0.022681528,-0.022135794
311,-0.022680866,-0.022135067
312,-0.022680064,-0.022134188
313,-0.022679403,-0.02213346
314,-0.022678694,-0.022132903
315,-0.022678032,-0.022132176
316,-0.022677386,-0.022131281
317,-0.022676725,-0.022130554
318,-0.022676016,-0.022129997
